,name,pred_points
685,Josh Feeney,0.0
686,Samir Caetano de Souza Santos,2.1533408164978027
687,Philippe Coutinho Correia,0.0
688,Edo Kayembe,0.015017062425613403
689,Dion Sanderson,0.0
690,Toti António Gomes,0.16440530121326447
691,Kieran Trippier,0.021288786083459854
692,Ryan Giles,0.0
693,Hassane Kamara,0.0
694,Samuel Kalu,3.8344240188598633
695,Ryan Alebiosu,0.0
696,Omari Hutchinson,0.0
697,Wout Weghorst,0.17114031314849854
698,Salah-Eddine Oulad M'hand,0.0
699,Mika Biereth,0.0
700,Francisco Jorge Tomás Oliveira,0.5288478136062622
701,Robert Kenedy Nunes do Nascimento,0.0
702,Dejan Kulusevski,0.7209414839744568
703,Benjamin Chrisene,0.0
704,Bruno Guimarães Rodriguez Moura,5.988319396972656
705,Luis Díaz,0.7566382884979248
706,Christian Eriksen,0.0
707,Zach Awe,0.0
708,Rodrigo Bentancur,0.0
709,Lucas De Bolle,0.0
710,Zak Swanson,0.0
711,Sam Waller,0.0
